"FIPS","State","County","Median.Household.Income","X..Uninsured","X..Rural","Life.Expectancy","Year","Health_Outcomes_Rank","Health_Factors_Rank","Length_of_Life_Rank","Clinical_Care_Rank","Socioeconomic_Rank","YPLL_Rate","YPLL_Black","YPLL_White","Percent_Poor_Health","Percent_Low_Birthweight"
12009,"Florida","Brevard",57582,54043,27573,77.8,2021,31,11,"39",16,12,8904,10899,9353,19,8
12011,"Florida","Broward",61429,239129,296,81.5,2021,10,16,"5",31,18,6142,7508,7468,20,10
12015,"Florida","Charlotte",54756,15629,14213,81.1,2021,25,24,"26",10,29,7982,6337,8581,18,8
12017,"Florida","Citrus",49762,12600,48753,75.7,2021,55,39,"65",24,58,11524,8864,12080,20,9
12019,"Florida","Clay",75776,18889,28570,77.8,2021,21,15,"21",20,7,7703,7174,8446,19,8
12021,"Florida","Collier",76415,50324,27284,86.1,2021,2,6,"3",15,17,5468,7240,6096,18,7
12023,"Florida","Columbia",47087,6027,41908,75.2,2021,59,40,"61",33,38,10763,10897,11361,23,11
12027,"Florida","DeSoto",41673,5746,16121,80.5,2021,36,56,"28",62,60,8070,11803,9840,29,7
12031,"Florida","Duval",58339,99428,25163,76.1,2021,46,27,"49",17,30,9822,12043,9848,20,10
12033,"Florida","Escambia",52822,28187,24709,75.3,2021,47,23,"51",21,28,10070,12840,9767,19,10
12035,"Florida","Flagler",62831,10221,9877,79.4,2021,22,21,"27",14,26,8033,9924,8154,19,8
12039,"Florida","Gadsden",42975,4709,30329,76.6,2021,64,61,"52",46,61,10148,11767,9259,27,12
12047,"Florida","Hamilton",39241,1190,9395,76.2,2021,49,66,"41",55,66,9102,9858,9745,28,10
12051,"Florida","Hendry",45107,8437,14831,78.5,2021,41,67,"33",66,67,8357,12781,11125,32,8
12053,"Florida","Hernando",50705,19016,33476,77.2,2021,39,36,"36",32,40,8789,9164,9585,21,9
12055,"Florida","Highlands",45723,11576,20810,78.3,2021,45,42,"50",42,50,9884,13137,10586,23,9
12057,"Florida","Hillsborough",61133,158801,43181,79.6,2021,12,20,"9",27,19,6589,9426,6720,20,9
