"FIPS","State","County","Median.Household.Income","X..Uninsured","X..Rural","Life.Expectancy","Life.Expectancy..Black.","Life.Expectancy..White.","Year"
13263,"Georgia","Talbot",41045,672,6445,75.7,76.5,73.4,2021
13267,"Georgia","Tattnall",41457,2885,17414,75.9,74.8,75.5,2021
13269,"Georgia","Taylor",28234,921,8906,75.1,75,75.2,2021
13271,"Georgia","Telfair",36264,1466,7753,79.4,79.4,78.6,2021
13273,"Georgia","Terrell",37122,968,4849,74.2,72.2,76.4,2021
13275,"Georgia","Thomas",47978,5238,20581,75.3,73.3,76.3,2021
13277,"Georgia","Tift",47764,5601,16361,75,72.2,75.7,2021
13279,"Georgia","Toombs",41442,3583,13899,74.5,72.4,74.3,2021
13283,"Georgia","Treutlen",37478,798,4053,75.7,75.3,75.7,2021
13285,"Georgia","Troup",47296,7017,29700,75.7,74.3,76,2021
13287,"Georgia","Turner",35400,910,4441,72.8,69.9,74.2,2021
13289,"Georgia","Twiggs",44079,969,9023,72.4,75.3,69.7,2021
13293,"Georgia","Upson",40926,2711,12737,72.8,73.8,72,2021
13295,"Georgia","Walker",47548,7226,30152,75.4,73.2,75.4,2021
13297,"Georgia","Walton",67007,10199,35734,76.9,73.3,77.4,2021
13299,"Georgia","Ware",37642,3681,10691,73.7,72.5,73.8,2021
13301,"Georgia","Warren",37313,528,5834,75.7,74.9,76,2021
13303,"Georgia","Washington",41674,1988,13899,76.5,75.7,77,2021
13305,"Georgia","Wayne",47382,3512,17439,73.6,70.5,74,2021
13309,"Georgia","Wheeler",35927,597,7421,79.3,80.7,77.7,2021
13313,"Georgia","Whitfield",53115,16776,29833,78.1,72.3,76.3,2021
13315,"Georgia","Wilcox",38261,772,9255,77.2,77.6,77.1,2021
13317,"Georgia","Wilkes",39716,1272,7136,75.5,74.4,75.4,2021
13319,"Georgia","Wilkinson",43902,897,9563,75,76,73.8,2021
13321,"Georgia","Worth",43142,2657,14994,74.6,73.5,75.3,2021
15001,"Hawaii","Hawaii",64929,8712,70313,80.6,80.6,80.5,2021
15003,"Hawaii","Honolulu",86946,28312,8225,82.5,86,81.9,2021
15009,"Hawaii","Maui",77375,6370,22556,82.9,80.8,82.2,2021
